"","studentID","Gender","Status","LikesAssignments","Collaboration","Writing","Interesting","Understanding","Coding"
"1","BrightShiny488","Male","International","No",1,4,3,2,4
"2","StormySunny319","Male","Domestic","No",5,2,4,4,3
"3","StormySunny870","Female","International","No",2,7,5,6,7
"4","MistyBreezy137","Male","Domestic","No",2,7,5,2,2
"5","SnowyShiny840","Female","International","Yes",5,5,1,1,6
"6","SunnyBright774","Female","International","No",7,1,5,4,4
"7","MightyDog063","Female","Domestic","No",4,6,4,3,4
"8","RainyRainy710","Male","Domestic","Yes",4,6,4,1,6
"9","WindyStormy636","Female","Domestic","No",7,4,5,7,2
"10","ShinyWindy837","Female","International","Yes",7,3,4,3,2
"11","RainyRainy689","Male","International","No",4,4,6,2,2
"12","RainyWindy824","Male","Domestic","No",5,7,4,5,6
"13","HappyElephant341","Male","Domestic","No",6,5,5,5,3
"14","SunnyMisty908","Female","Domestic","No",5,1,6,3,4
"15","RainyStormy286","Female","International","Yes",1,4,6,3,4
"16","SnowyCloudy556","Male","Domestic","Yes",6,4,3,7,1
"17","QuickDog848","Female","Domestic","No",2,6,7,4,2
"18","SnowyCloudy441","Male","Domestic","No",4,6,4,4,7
"19","BreezyShiny502","Female","Domestic","Yes",2,7,6,4,1
"20","StormyStormy759","Male","Domestic","Yes",7,7,3,1,4
"21","AngryFox412","Male","Domestic","Yes",7,1,1,4,4
"22","CleverWolf891","Female","Domestic","Yes",4,5,3,7,5
"23","SnowyBreezy309","Male","Domestic","Yes",2,3,1,7,4
"24","CloudySnowy354","Male","International","Yes",1,7,7,4,1
"25","SunnyStormy675","Male","International","No",6,5,4,4,2
"26","FearlessElephant010","Female","Domestic","Yes",4,5,5,1,4
"27","ShinySunny240","Male","Domestic","Yes",5,4,5,4,1
"28","MistyShiny681","Female","Domestic","Yes",6,4,6,7,3
"29","BrightWindy836","Female","Domestic","No",1,7,3,4,4
"30","FearlessDog909","Male","International","No",4,4,5,4,7
"31","WindyBright782","Female","Domestic","No",3,2,6,5,3
"32","MistySnowy150","Female","Domestic","Yes",4,7,5,4,7
"33","CloudyBright690","Female","Domestic","Yes",7,5,7,7,6
"34","SnowyMisty513","Female","International","No",4,4,5,3,3
"35","StormyWindy501","Female","Domestic","No",3,4,5,7,2
"36","RainySunny160","Male","International","No",3,1,5,5,2
"37","SilentPanda304","Female","International","No",3,3,4,2,6
"38","BrightMisty332","Female","International","No",3,3,5,6,2
"39","StormyShiny313","Male","International","No",5,4,1,1,5
"40","SnowyBright467","Other","Domestic","No",7,2,2,5,1
"41","SunnyRainy535","Female","International","Yes",4,4,4,4,1
"42","CloudyBreezy715","Female","Domestic","No",5,7,6,5,3
"43","SunnySunny890","Female","Domestic","No",4,5,6,1,1
"44","CleverLion097","Male","International","No",6,4,4,4,6
"45","SunnySunny469","Male","Domestic","No",3,5,4,1,1
"46","FearlessEagle723","Male","Domestic","No",2,1,7,5,4
"47","BrightShiny651","Male","Domestic","No",2,3,4,3,4
"48","BrightSnowy953","Female","Domestic","No",4,3,6,3,3
"49","CloudyMisty504","Male","International","No",1,3,4,1,5
"50","BreezyMisty582","Female","International","Yes",4,3,4,2,7
